,UNITDESC,WKD_RATE1,WKD_START1,WKD_END1,WKD_RATE2,WKD_START2,WKD_END2,WKD_RATE3,WKD_START3,WKD_END3,SAT_RATE1,SAT_START1,SAT_END1,SAT_RATE2,SAT_START2,SAT_END2,SAT_RATE3,SAT_START3,SAT_END3,PARKING_TIME_LIMIT
21987,SW SNOQUALMIE ST BETWEEN 35TH AVE SW AND 36TH AVE SW,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
21988,SW SNOQUALMIE ST BETWEEN 36TH AVE SW AND 37TH AVE SW,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
22250,TALLMAN AVE NW BETWEEN NW CENTRAL PL AND NW MARKET ST,0.5,480,661,1.0,660,1021,1.0,1020.0,1201.0,0.5,480.0,661.0,1.0,660.0,1021.0,1.0,1020.0,1201.0,240.0
22251,TALLMAN AVE NW BETWEEN NW IONE PL AND NW CENTRAL PL,0.5,480,661,1.0,660,1021,1.0,1020.0,1201.0,0.5,480.0,661.0,1.0,660.0,1021.0,1.0,1020.0,1201.0,240.0
22255,TAYLOR AVE N BETWEEN DENNY WAY AND JOHN ST,1.0,480,661,1.0,660,1081,,,,1.0,480.0,661.0,1.0,660.0,1081.0,,,,600.0
22260,TAYLOR AVE N BETWEEN JOHN ST AND THOMAS ST,1.0,480,661,1.0,660,1081,,,,1.0,480.0,661.0,1.0,660.0,1081.0,,,,600.0
22262,TAYLOR AVE N BETWEEN MERCER ST AND ROY ST,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,
22265,TAYLOR AVE N BETWEEN ROY ST AND VALLEY ST,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,
22268,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,1.0,480,661,1.0,660,1081,,,,1.0,480.0,661.0,1.0,660.0,1081.0,,,,600.0
22269,TAYLOR AVE N BETWEEN VALLEY ST AND ALOHA ST,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,60.0
